"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"China","1378.7","11199","2","","1","2","Accra","Ghana","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Athens","Greece","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Calliste St. George's","Grenada","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Conakry","Guinea","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bissau","Guinea-Bissau","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Georgetown","Guyana","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Budapest","Hungary","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Reykjavik","Iceland","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","New Delhi","India","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Jakarta","Indonesia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Tehran","Iran Islamic Republic of","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Baghdad","Iraq","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Dublin","Ireland","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Tel Aviv","Israel","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Rome","Italy","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Kingston","Jamaica","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Tokyo","Japan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Amman","Jordan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Astana","Kazakhstan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Nairobi","Kenya","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Pyongyang","Korea Democratic People's Republic of (North Korea)","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Seoul","Korea Republic of (South Korea)","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Kuwait City","Kuwait","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bishkek","Kyrgyzstan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Vientiane","Lao People's Democratic Republic","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Riga","Latvia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Beirut","Lebanon","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Maseru","Lesotho","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Monrovia","Liberia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Vilnius","Lithuania","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Luxembourg","Luxembourg","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Skopje","Macedonia the former Yugoslav Republic of","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Antananarivo","Madagascar","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Lilongwe","Malawi","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Kuala Lumpur","Malaysia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Male","Maldives","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bamako","Mali","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Valletta","Malta","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Nouakchott","Mauritania","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Port Louis","Mauritius","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Mexico City","Mexico","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Pohnpei","Micronesia Federated States of","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Chisinau","Moldova Republic of","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Ulaanbaatar","Mongolia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Podgorica","Montenegro","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Rabat","Morocco","Embassy / High Commission","Embassy"
