"send_country","rank_g20","rank_OECD","rank_asia","rank_overall"
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Taiwan*",NA,NA,8,32
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
"Thailand",NA,NA,9,37
